abd,C_ach,C_akw,C_ata,C_kma,C_oro,C_pad,C_paj,C_pal,age,fthr_ed,mthr_ed,orphan96,hh_fthr_frm,hh_size96,educ,distress,log.wage
1,0,0,0,1,0,0,0,0,21,7,4,0,1,9,6,4,8.517393171
1,0,0,0,1,0,0,0,0,29,7,4,0,1,9,3,1,6.370471561
1,0,0,0,1,0,0,0,0,23,7,0,0,1,2,4,3,7.670361905
1,0,0,0,1,0,0,0,0,18,0,0,0,1,6,7,3.333333254,8.853808275
1,0,0,0,1,0,0,0,0,18,4,4,0,1,5,7,5,5.525452939
1,0,0,0,1,0,0,0,0,25,7,4,0,0,9,7,5,5.993961427
1,0,0,0,1,0,0,0,0,23,7,0,0,1,11,7,5.333333492,7.419180698
0,0,0,0,1,0,0,0,0,29,7,0,0,1,11,7,2.666666746,7.404800697
1,0,0,0,1,0,0,0,0,28,7,4,0,1,5,7,2.666666746,8.335111567
1,0,0,0,1,0,0,0,0,22,7,4,0,1,8,8,1.666666627,0
1,0,0,0,1,0,0,0,0,14,10,10,0,1,7,5,9,0
1,0,0,0,1,0,0,0,0,19,0,4,1,1,6,8,8.333333015,7.53689713
1,0,0,0,1,0,0,0,0,26,10,4,0,1,7,7,2.333333254,6.572682051
1,0,0,0,1,0,0,0,0,30,7,0,0,1,17,12,2.666666746,0
1,0,0,0,1,0,0,0,0,23,4,0,0,1,17,7,6.666666508,4.719490473
1,0,0,0,1,0,0,0,0,17,7,4,1,1,8,3,4,6.646690176
1,0,0,0,1,0,0,0,0,15,10,10,0,0,4,7,0,0
0,0,0,0,1,0,0,0,0,14,0,0,0,1,17,6,7.333333492,4.900324235
1,0,0,0,1,0,0,0,0,30,4,0,0,1,6,4,3.333333254,6.977681065
1,0,0,0,1,0,0,0,0,25,7,0,0,1,7,11,0.666666687,8.294299609
1,0,0,0,1,0,0,0,0,23,0,7,0,1,7,2,4,5.612132225
1,0,0,0,1,0,0,0,0,15,7,10,0,1,7,5,1,0
1,0,0,0,1,0,0,0,0,25,4,0,0,1,9,4,0,0
1,0,0,0,1,0,0,0,0,19,4,0,0,1,7,1,6,7.824445931
0,0,0,0,1,0,0,0,0,19,4,4,0,1,6,7,2,6.685860947
1,0,0,0,1,0,0,0,0,17,10,0,0,1,16,10,4.666666508,8.112028014
1,0,0,0,1,0,0,0,0,18,12,7,0,1,15,7,2.666666746,7.755481584
1,0,0,0,1,0,0,0,0,20,12,4,0,1,8,6,15,0
1,0,0,0,1,0,0,0,0,21,7,4,0,1,6,11,2.666666746,0
1,0,0,0,1,0,0,0,0,19,10,4,1,1,5,8,13.66666698,0
1,0,0,0,1,0,0,0,0,30,4,0,1,1,5,4,3,0
1,0,0,0,1,0,0,0,0,15,12,4,0,1,6,6,5.333333492,0
1,0,0,0,1,0,0,0,0,29,0,4,0,1,8,4,8,5.37196608
0,0,0,0,1,0,0,0,0,16,0,0,0,1,8,7,6.333333492,6.908754779
1,0,0,0,1,0,0,0,0,14,4,4,0,1,3,3,4.333333492,0
1,0,0,0,1,0,0,0,0,15,7,0,0,1,9,10,3.333333254,0
1,0,0,0,1,0,0,0,0,30,4,0,0,1,12,7,2.333333254,0
1,0,0,0,1,0,0,0,0,14,4,0,0,0,13,4,4.333333492,0
1,0,0,0,1,0,0,0,0,15,12,4,0,0,9,6,2.333333254,0
1,0,0,0,1,0,0,0,0,16,0,4,0,1,9,7,6.333333492,0
1,0,0,0,1,0,0,0,0,16,4,0,0,1,7,8,2,0
1,0,0,0,1,0,0,0,0,28,0,0,0,1,7,4,3,7.521401252
0,0,0,0,1,0,0,0,0,16,0,0,0,1,5,6,3.333333254,6.552507887
1,0,0,0,1,0,0,0,0,18,4,0,0,1,9,10,3.666666746,0
1,0,0,0,1,0,0,0,0,30,4,0,0,1,15,7,4,7.244941546
1,0,0,0,1,0,0,0,0,23,4,0,0,0,7,6,2.333333254,7.419180698
1,0,0,0,0,1,0,0,0,20,4,0,0,1,10,7,1.666666627,3.603165966
